time_ms,ppg_mode,ir_raw,filtered_ppg,ibi_ms,valid_ibi_ms,mean_hr,sdnn,rmssd,baseline_mean_hr_mean,baseline_mean_hr_std,baseline_sdnn_mean,baseline_sdnn_std,baseline_rmssd_mean,baseline_rmssd_std,baseline_ibi_mean,baseline_ibi_std,sqi_score,valid_window_flag,mean_hr_z,sdnn_z,rmssd_z,mean_hr_stress_score,sdnn_stress_score,rmssd_stress_score,ppg_avg_score,hrv_score,final_ppg_stress_score,final_ppg_stress_level,ibi_count,baseline_count,no_finger_count,gsr_mode,gsr_sample_index,raw_gsr,median_gsr,scl_baseline,scr_detect_baseline,phasic,phasic_pos,scl_mean_30s,scr_amplitude_mean_30s,ns_scr_frequency_per_min,scl_mean_z,scr_amplitude_mean_z,ns_scr_frequency_z,scl_stress_score,scr_amplitude_stress_score,ns_scr_frequency_stress_score,final_gsr_stress_score,gsr_feature_ready,gsr_contact_ok,gsr_valid_sample_flag,integrated_stress_score,integrated_stress_level,pc_elapsed_sec,analysis_ppg_mode,analysis_gsr_mode,time_sec
797747,MONITORING,1532,-2721.1079,,,89.19,28.41,44.42,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,72.85,1,-10.7093,0.4235,3.8855,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14073,2,6591,621,566.0,621.47,630.04,-64.04,0.0,647.4,0.0,0.0,2.646,-0.5626,0.0,89.69,41.56,50.0,60.42,0,1,1,30.21,Normal,0.01,MONITORING,2,797.747
798748,MONITORING,11182,2392.2969,10449.0,,89.19,28.41,44.42,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,72.85,1,-10.7093,0.4235,3.8855,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6599,478,361.0,609.02,596.93,-235.93,0.0,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,1,1,1,46.39,Mild,0.01,MONITORING,2,798.748
799749,MONITORING,95687,27326.9727,600.0,600.0,89.37,30.83,45.13,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,53.19,1,-10.4806,1.5244,4.1636,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6607,299,275.0,592.22,556.91,-281.91,0.0,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,0.67,MONITORING,2,799.749
800750,MONITORING,99680,-2124.1272,,,89.37,30.83,45.13,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,53.19,1,-10.4806,1.5244,4.1636,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6615,293,293.0,572.73,515.86,-222.86,0.0,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,1.67,MONITORING,2,800.75
801750,MONITORING,92648,-3220.6006,,,89.37,30.83,45.13,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,53.19,1,-10.4806,1.5244,4.1636,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6623,251,252.0,551.16,475.07,-223.07,0.0,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,2.67,MONITORING,2,801.75
802751,MONITORING,95814,-5513.1382,,,89.37,30.83,45.13,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,53.19,1,-10.4806,1.5244,4.1636,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6631,278,276.0,530.27,442.4,-166.4,0.0,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,3.67,MONITORING,2,802.751
803752,MONITORING,95342,-6104.5405,,,89.37,30.83,45.13,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,53.19,1,-10.4806,1.5244,4.1636,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6639,283,283.0,510.8,418.49,-135.49,0.0,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,4.68,MONITORING,2,803.752
804753,MONITORING,95022,-4187.542,,,89.37,30.83,45.13,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,53.19,1,-10.4806,1.5244,4.1636,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6647,289,288.0,491.57,398.78,-110.78,0.0,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,5.68,MONITORING,2,804.753
805754,MONITORING,95111,-1800.8047,,,89.37,30.83,45.13,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,53.19,1,-10.4806,1.5244,4.1636,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6655,293,293.0,479.48,382.73,-89.73,0.0,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,6.68,MONITORING,2,805.754
806755,MONITORING,94977,-478.4696,,,89.37,30.83,45.13,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,53.19,1,-10.4806,1.5244,4.1636,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6663,303,301.0,477.37,369.74,-68.74,0.0,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,7.68,MONITORING,2,806.755
807755,MONITORING,95112,236.2054,,,89.37,30.83,45.13,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,53.19,1,-10.4806,1.5244,4.1636,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6671,307,307.0,460.3,360.2,-53.2,0.0,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,8.68,MONITORING,2,807.755
808756,MONITORING,95037,340.5256,,,89.37,30.83,45.13,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,53.19,1,-10.4806,1.5244,4.1636,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6679,307,308.0,442.24,352.43,-44.43,0.0,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,9.68,MONITORING,2,808.756
809757,MONITORING,95328,266.9672,,,89.37,30.83,45.13,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,53.19,1,-10.4806,1.5244,4.1636,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6687,319,318.0,424.41,346.59,-28.59,0.0,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,10.68,MONITORING,2,809.757
810758,MONITORING,95229,38.9841,,,89.37,30.83,45.13,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,53.19,1,-10.4806,1.5244,4.1636,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6695,323,323.0,407.08,342.89,-19.89,0.0,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,11.68,MONITORING,2,810.758
811759,MONITORING,95430,67.3594,,,89.37,30.83,45.13,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,53.19,1,-10.4806,1.5244,4.1636,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6703,322,323.0,389.83,340.11,-17.11,0.0,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,12.68,MONITORING,2,811.759
812760,MONITORING,95269,-123.0132,,,89.37,30.83,45.13,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,53.19,1,-10.4806,1.5244,4.1636,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6711,309,311.0,372.11,336.43,-25.43,0.0,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,13.68,MONITORING,2,812.76
813761,MONITORING,94970,-212.9212,,,89.37,30.83,45.13,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,53.19,1,-10.4806,1.5244,4.1636,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6719,284,284.0,353.41,330.44,-46.44,0.0,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,14.68,MONITORING,2,813.761
814762,MONITORING,94065,-515.6807,,,89.37,30.83,45.13,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,53.19,1,-10.4806,1.5244,4.1636,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6727,284,282.0,333.93,323.17,-41.17,0.0,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,15.68,MONITORING,2,814.762
815763,MONITORING,93567,-262.2956,,,89.37,30.83,45.13,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,53.19,1,-10.4806,1.5244,4.1636,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6735,289,288.0,314.7,317.67,-29.67,0.0,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,16.69,MONITORING,2,815.763
816763,MONITORING,93846,491.2526,,,89.37,30.83,45.13,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,53.19,1,-10.4806,1.5244,4.1636,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6743,300,297.0,297.16,313.74,-16.74,0.0,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,17.68,MONITORING,2,816.763
817764,MONITORING,94655,865.9459,18056.0,,89.37,30.83,45.13,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,53.19,1,-10.4806,1.5244,4.1636,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6751,319,318.0,293.58,313.39,4.61,4.61,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,18.69,MONITORING,2,817.764
818765,MONITORING,94788,274.9021,626.0,626.0,89.43,31.46,42.89,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,52.95,1,-10.3946,1.8083,3.2871,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6759,323,322.0,295.19,314.31,7.69,7.69,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,19.69,MONITORING,2,818.765
819766,MONITORING,95110,96.9806,,,89.43,31.46,42.89,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,52.95,1,-10.3946,1.8083,3.2871,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6767,324,324.0,297.93,315.67,8.33,8.33,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,20.69,MONITORING,2,819.766
820767,MONITORING,95053,-182.0079,,,89.43,31.46,42.89,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,52.95,1,-10.3946,1.8083,3.2871,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6775,326,326.0,302.55,317.21,8.79,8.79,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,21.69,MONITORING,2,820.767
821768,MONITORING,95163,-168.6184,,,89.43,31.46,42.89,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,52.95,1,-10.3946,1.8083,3.2871,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6783,327,327.0,305.97,318.62,8.38,8.38,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,22.69,MONITORING,2,821.768
822769,MONITORING,95139,-149.3967,,,89.43,31.46,42.89,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,52.95,1,-10.3946,1.8083,3.2871,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6791,332,332.0,308.49,320.46,11.54,11.54,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,23.69,MONITORING,2,822.769
823770,MONITORING,95242,-55.208,,,89.43,31.46,42.89,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,52.95,1,-10.3946,1.8083,3.2871,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6799,334,334.0,310.91,322.35,11.65,11.65,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,24.69,MONITORING,2,823.77
824771,MONITORING,95177,-54.0379,,,89.43,31.46,42.89,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,52.95,1,-10.3946,1.8083,3.2871,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6807,335,336.0,313.2,324.23,11.77,11.77,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,25.69,MONITORING,2,824.771
825772,MONITORING,95288,0.077,,,89.43,31.46,42.89,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,52.95,1,-10.3946,1.8083,3.2871,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6815,339,338.0,315.29,326.21,11.79,11.79,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,26.69,MONITORING,2,825.772
826773,MONITORING,95240,-27.5588,8822.0,,89.43,31.46,42.89,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,52.95,1,-10.3946,1.8083,3.2871,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6823,341,342.0,317.12,328.43,13.57,13.57,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,27.7,MONITORING,2,826.773
827773,MONITORING,95333,-18.231,681.0,681.0,89.61,30.08,41.44,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,52.95,1,-10.1647,1.182,2.7219,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6831,346,346.0,319.03,330.79,15.21,15.21,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,28.7,MONITORING,2,827.773
828774,MONITORING,95286,13.4455,640.0,640.0,89.43,31.46,44.06,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,51.95,1,-10.3946,1.8083,3.7433,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6839,351,350.0,320.71,333.28,16.72,16.72,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,29.7,MONITORING,2,828.774
829775,MONITORING,95648,153.7432,681.0,681.0,89.43,31.47,44.71,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,51.92,1,-10.4004,1.8131,3.9984,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6847,350,350.0,322.21,335.92,14.08,14.08,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,30.7,MONITORING,2,829.775
830776,MONITORING,95414,21.1022,801.0,,89.97,37.34,49.48,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,50.73,1,-9.7021,4.4794,5.8646,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6855,350,350.0,323.61,337.97,12.03,12.03,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,31.7,MONITORING,2,830.776
831777,MONITORING,95592,-42.5402,,,89.97,37.34,49.48,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,50.73,1,-9.7021,4.4794,5.8646,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6863,354,353.0,325.72,340.09,12.91,12.91,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,32.7,MONITORING,2,831.777
832778,MONITORING,95489,20.7853,681.0,681.0,90.15,36.03,53.81,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,50.47,1,-9.4694,3.8858,7.5558,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6871,356,355.0,329.11,342.2,12.8,12.8,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,33.7,MONITORING,2,832.778
833779,MONITORING,95483,-170.1232,600.0,600.0,90.51,37.84,55.35,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,49.92,1,-9.0012,4.7076,8.1584,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6879,356,357.0,333.09,344.32,12.68,12.68,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,34.7,MONITORING,2,833.779
834780,MONITORING,95420,-95.0445,1282.0,,90.51,37.84,55.35,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,49.92,1,-9.0012,4.7076,8.1584,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6887,359,358.0,336.83,346.29,11.71,11.71,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,35.7,MONITORING,2,834.78
835781,MONITORING,95408,43.2687,600.0,600.0,91.07,37.89,53.32,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,49.45,1,-8.2858,4.7268,7.3646,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6895,360,360.0,340.27,348.21,11.79,11.79,639.52,36.83,12.0,2.5574,12.6092,6.0,88.36,95.0,95.0,92.79,0,1,1,46.39,Mild,36.7,MONITORING,2,835.781
836782,MONITORING,95220,-118.6182,614.0,614.0,91.62,37.19,51.05,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,75.78,1,-7.5677,4.4123,6.4781,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6903,367,368.0,342.87,350.6,17.4,17.4,381.31,16.26,4.0,-0.3447,5.2536,2.0,44.83,95.0,80.0,73.28,0,1,1,36.64,Mild,37.71,MONITORING,2,836.782
837783,MONITORING,95087,51.826,641.0,641.0,92.0,36.63,51.3,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,79.11,1,-7.0841,4.1589,6.574,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6911,368,367.0,345.42,353.23,13.77,13.77,381.31,16.26,4.0,-0.3447,5.2536,2.0,44.83,95.0,80.0,73.28,0,1,1,36.64,Mild,38.71,MONITORING,2,837.783
838784,MONITORING,95083,-48.6825,640.0,640.0,92.18,36.31,51.3,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,78.23,1,-6.8407,4.0135,6.574,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6919,370,369.0,347.78,355.46,13.54,13.54,381.31,16.26,4.0,-0.3447,5.2536,2.0,44.83,95.0,80.0,73.28,0,1,1,36.64,Mild,39.71,MONITORING,2,838.784
839784,MONITORING,94850,73.4266,720.0,720.0,91.81,38.38,51.33,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,79.67,1,-7.3203,4.9514,6.5847,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6927,368,368.0,349.98,357.25,10.75,10.75,381.31,16.26,4.0,-0.3447,5.2536,2.0,44.83,95.0,80.0,73.28,0,1,1,36.64,Mild,40.71,MONITORING,2,839.784
840785,MONITORING,95223,141.3806,681.0,681.0,91.81,38.4,51.83,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,72.77,1,-7.3264,4.9624,6.7833,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6935,371,371.0,352.27,359.18,11.82,11.82,381.31,16.26,4.0,-0.3447,5.2536,2.0,44.83,95.0,80.0,73.28,0,1,1,36.64,Mild,41.71,MONITORING,2,840.785
841786,MONITORING,95642,257.0421,721.0,721.0,91.62,40.05,51.83,97.48,0.77,27.48,2.2,34.48,2.56,627.25,27.61,55.94,1,-7.5677,5.7097,6.7833,0.0,0.0,0.0,0.0,0.0,0.0,Normal,30,16,14079,2,6943,378,378.0,354.65,361.78,16.22,16.22,381.31,16.26,4.0,-0.3447,5.2536,2.0,44.83,95.0,80.0,73.28,0,1,1,36.64,Mild,42.71,MONITORING,2,841.786
